name,address,phone_number,has_website,website,business_type,search_term,google_maps_url,rating,location,coord,scraped_date,opening_hours,price_level,reviews_count,wine_region,email,Subject
The Marion,"Barrine Dr, Parkes, ACT, 2600",(02) 7252 7711,TRUE,https://themarion.com.au/,restaurant,wine estate Canberra region,https://maps.google.com/?cid=11548395441684986954,4.6,Canberra region,"{'latitude': -35.2903956, 'longitude': 149.1312279}",9/4/2025,Monday: 10:00 AM – 5:00 PM; Tuesday: 10:00 AM – 5:00 PM; Wednesday: 10:00 AM – 5:00 PM; Thursday: 10:00 AM – 5:00 PM; Friday: 10:00 AM – 5:00 PM; Saturday: 10:00 AM – 5:00 PM; Sunday: 10:00 AM – 5:00 PM,0,260,Canberra region,,SIP Canberra invitation
The Meat  Wine Co Canberra,"1 Constitution Ave, Canberra, ACT, 2601",(02) 5134 5988,TRUE,https://themeatandwineco.com/canberra-restaurants/canberra-cbd/?utm_source=google&utm_medium=organic&utm_campaign=yext&utm_content=booking-canberra,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=7786816398161348266,4.4,Canberra,"{'latitude': -35.28294410000001, 'longitude': 149.1313821}",9/4/2025,Monday: 12:00 – 9:30 PM; Tuesday: 12:00 – 9:30 PM; Wednesday: 12:00 – 9:30 PM; Thursday: 12:00 – 9:30 PM; Friday: 12:00 – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: 12:00 – 9:30 PM,3,1031,Canberra,,SIP Canberra invitation
The Quarry Restaurant,"7191 Lachlan Valley Way, Cowra, NSW, 2794",0425 219 809,TRUE,http://www.quarry.group/,restaurant,winery cellar door cowra,https://maps.google.com/?cid=7647432396279152680,4.5,cowra,"{'latitude': -33.8658218, 'longitude': 148.6693572}",9/4/2025,,0,132,cowra,dine@quarry.group,SIP Canberra invitation
The Sir George,"320 Riverside Dr, Jugiong, NSW, 2726",(13) 0034 5613,TRUE,http://www.sirgeorge.com.au/,restaurant,wine tasting Gundagai,https://maps.google.com/?cid=5969752489730772908,4.4,Gundagai,"{'latitude': -34.8231632, 'longitude': 148.3248086}",9/4/2025,Monday: 4:30 – 11:30 PM; Tuesday: 9:30 AM – 11:30 PM; Wednesday: 10:00 AM – 11:30 PM; Thursday: 10:00 AM – 11:30 PM; Friday: 10:00 AM – 11:30 PM; Saturday: 10:00 AM – 11:30 PM; Sunday: 10:00 AM – 10:00 PM,2,1744,Gundagai,"613info@sirgeorge.com.au, info@sirgeorge.com.au",SIP Canberra invitation
Thyme To Taste Cafe,"60 Comur St, Yass, NSW, 2582",0491 631 669,TRUE,https://thymetotaste.com.au/,restaurant,vineyard tasting room Murrumbateman,https://maps.google.com/?cid=16840821576694731101,4.6,Murrumbateman,"{'latitude': -34.840872, 'longitude': 148.9103226}",9/4/2025,Monday: 7:00 AM – 2:00 PM; Tuesday: 7:00 AM – 2:00 PM; Wednesday: 7:00 AM – 2:00 PM; Thursday: 7:00 AM – 2:00 PM; Friday: 7:00 AM – 2:00 PM; Saturday: 8:30 AM – 2:00 PM; Sunday: Closed,2,284,Murrumbateman,,SIP Canberra invitation
Tumbarumba Motel,"2 Albury Cl, Tumbarumba, NSW, 2653",(02) 6948 2494,TRUE,http://www.tumbarumbamotel.com.au/,restaurant,winery cellar door Tumbarumba,https://maps.google.com/?cid=3524440331303844674,4.4,Tumbarumba,"{'latitude': -35.77585740000001, 'longitude': 148.0061836}",9/4/2025,Monday: Open 24 hours; Tuesday: Open 24 hours; Wednesday: Open 24 hours; Thursday: Open 24 hours; Friday: Open 24 hours; Saturday: Open 24 hours; Sunday: Open 24 hours,0,189,Tumbarumba,administration@tmotel.com.au,SIP Canberra invitation
Tumut River Brewing Co,"5 Capper St, Tumut, NSW, 2720",(13) 0004 2337,TRUE,http://www.trbc.com.au/,restaurant,wine tasting Gundagai,https://maps.google.com/?cid=9460790538903733287,4.6,Gundagai,"{'latitude': -35.2954172, 'longitude': 148.2152901}",9/4/2025,Monday: Closed; Tuesday: Closed; Wednesday: 11:00 AM – 9:00 PM; Thursday: 11:00 AM – 9:00 PM; Friday: 11:00 AM – 10:30 PM; Saturday: 11:00 AM – 10:30 PM; Sunday: 11:00 AM – 9:00 PM,0,417,Gundagai,,SIP Canberra invitation
Volstead Repeal,"32 Mort St, Braddon, ACT, 2612",,TRUE,http://volstead.com.au/,restaurant,wine tasting Canberra,https://maps.google.com/?cid=12298304438982439843,4.8,Canberra,"{'latitude': -35.2741036, 'longitude': 149.1317465}",9/4/2025,Monday: 5:00 PM – 12:00 AM; Tuesday: 5:00 PM – 12:00 AM; Wednesday: 5:00 PM – 12:00 AM; Thursday: 5:00 PM – 12:00 AM; Friday: 5:00 PM – 1:00 AM; Saturday: 5:00 PM – 1:00 AM; Sunday: 5:00 PM – 12:00 AM,0,278,Canberra,,SIP Canberra invitation
Waters Edge Fine Dining Restaurant,"40 Parkes Pl E, Parkes, ACT, 2600",(02) 6273 5066,TRUE,https://watersedgecanberra.com.au/,restaurant,vineyard tasting room Canberra,https://maps.google.com/?cid=17951122556323594804,4.4,Canberra,"{'latitude': -35.2970651, 'longitude': 149.1338166}",9/4/2025,"Monday: 6:00 – 9:30 PM; Tuesday: 6:00 – 9:30 PM; Wednesday: 12:00 – 3:00 PM, 6:00 – 9:30 PM; Thursday: 12:00 – 3:00 PM, 6:00 – 9:30 PM; Friday: 12:00 – 3:00 PM, 6:00 – 9:30 PM; Saturday: 12:00 – 3:00 PM, 6:00 – 9:30 PM; Sunday: 12:00 – 3:00 PM, 6:00 – 9:30 PM",4,645,Canberra,,SIP Canberra invitation
Wilma,"1 Genge St, Canberra, ACT, 2601",(02) 6171 2092,TRUE,https://wilmabbq.com.au/,restaurant,wine estate Canberra,https://maps.google.com/?cid=1130745525550823165,0.0,Canberra,"{'latitude': -35.2774784, 'longitude': 149.1319064}",9/4/2025,"Monday: 4:00 – 9:30 PM; Tuesday: 4:00 – 9:30 PM; Wednesday: 4:00 – 9:30 PM; Thursday: 12:00 – 2:30 PM, 4:00 – 9:30 PM; Friday: 12:00 – 2:30 PM, 4:00 – 9:30 PM; Saturday: 12:00 – 2:30 PM, 4:00 – 9:30 PM; Sunday: 4:00 – 9:30 PM",0,0,Canberra,,SIP Canberra invitation
WineRoom,"24 Mort St, Braddon, ACT, 2612",0451 149 463,TRUE,http://wineroom.bar/,restaurant,winery cellar door Canberra,https://maps.google.com/?cid=16669171691499911182,4.7,Canberra,"{'latitude': -35.275164, 'longitude': 149.1315887}",9/4/2025,Monday: Closed; Tuesday: 5:00 – 10:30 PM; Wednesday: 5:00 – 10:30 PM; Thursday: 5:00 – 11:30 PM; Friday: 5:00 – 11:30 PM; Saturday: 5:00 – 11:30 PM; Sunday: Closed,0,194,Canberra,,SIP Canberra invitation
Wins Creek Meadery,"Barton Hwy, Murrumbateman, NSW, 2582",0413 378 315,TRUE,http://www.winscreek.com.au/,restaurant,winery cellar door Murrumbateman,https://maps.google.com/?cid=10358437152339525491,4.5,Murrumbateman,"{'latitude': -34.970252, 'longitude': 149.029674}",9/4/2025,Monday: 11:00 AM – 2:30 PM; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 11:00 AM – 2:30 PM; Saturday: 11:00 AM – 4:00 PM; Sunday: 11:00 AM – 4:00 PM,0,71,Murrumbateman,,SIP Canberra invitation
Yazzbar,"81 Comur St, Yass, NSW, 2582",0429 221 167,TRUE,http://www.yazzbar.com.au/,restaurant,winery cellar door Murrumbateman,https://maps.google.com/?cid=13902799054110752847,4.5,Murrumbateman,"{'latitude': -34.8415352, 'longitude': 148.9105627}",9/4/2025,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 4:00 PM – 12:00 AM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: Closed,2,231,Murrumbateman,harvey.walsh7@gmail.com,SIP Canberra invitation
Young Mandarin Court,"243 Boorowa St, Young, NSW, 2594",(02) 6382 1818,FALSE,,restaurant,wine tasting Hilltops,https://maps.google.com/?cid=11603261100033670751,4.5,Hilltops,"{'latitude': -34.3121149, 'longitude': 148.2926571}",9/4/2025,"Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: 12:00 – 2:00 PM, 5:00 – 9:00 PM; Friday: 12:00 – 2:00 PM, 5:00 – 9:00 PM; Saturday: 12:00 – 2:00 PM, 5:00 – 9:00 PM; Sunday: 12:00 – 2:00 PM, 5:00 – 9:00 PM",2,174,Hilltops,,SIP Canberra invitation
